timestamp,MOER
2019-03-01 12:00:00+00:00,498
2019-03-01 12:05:00+00:00,528
2019-03-01 12:10:00+00:00,504
2019-03-01 12:15:00+00:00,519
2019-03-01 12:20:00+00:00,519
2019-03-01 12:25:00+00:00,532
2019-03-01 12:30:00+00:00,530
2019-03-01 12:35:00+00:00,557
2019-03-01 12:40:00+00:00,559
2019-03-01 12:45:00+00:00,550
2019-03-01 12:50:00+00:00,550
2019-03-01 12:55:00+00:00,566
2019-03-01 13:00:00+00:00,467
2019-03-01 13:05:00+00:00,559
2019-03-01 13:10:00+00:00,566
2019-03-01 13:15:00+00:00,566
2019-03-01 13:20:00+00:00,582
2019-03-01 13:25:00+00:00,592
2019-03-01 13:30:00+00:00,465
2019-03-01 13:35:00+00:00,720
2019-03-01 13:40:00+00:00,720
2019-03-01 13:45:00+00:00,606
2019-03-01 13:50:00+00:00,618
2019-03-01 13:55:00+00:00,595
2019-03-01 14:00:00+00:00,740
2019-03-01 14:05:00+00:00,740
2019-03-01 14:10:00+00:00,753
2019-03-01 14:15:00+00:00,740
2019-03-01 14:20:00+00:00,740
2019-03-01 14:25:00+00:00,845
2019-03-01 14:30:00+00:00,1104
2019-03-01 14:35:00+00:00,1104
2019-03-01 14:40:00+00:00,1139
2019-03-01 14:45:00+00:00,1463
2019-03-01 14:50:00+00:00,1463
2019-03-01 14:55:00+00:00,1338
2019-03-01 15:00:00+00:00,1463
2019-03-01 15:05:00+00:00,1463
2019-03-01 15:10:00+00:00,1463
2019-03-01 15:15:00+00:00,1463
2019-03-01 15:20:00+00:00,1463
2019-03-01 15:25:00+00:00,1463
2019-03-01 15:30:00+00:00,1463
2019-03-01 15:35:00+00:00,1463
2019-03-01 15:40:00+00:00,1463
2019-03-01 15:45:00+00:00,1463
2019-03-01 15:50:00+00:00,1463
2019-03-01 15:55:00+00:00,1463
2019-03-01 16:00:00+00:00,1329
2019-03-01 16:05:00+00:00,1463
2019-03-01 16:10:00+00:00,1326
2019-03-01 16:15:00+00:00,1320
2019-03-01 16:20:00+00:00,1033
2019-03-01 16:25:00+00:00,1127
2019-03-01 16:30:00+00:00,1108
2019-03-01 16:35:00+00:00,1224
2019-03-01 16:40:00+00:00,1065
2019-03-01 16:45:00+00:00,654
2019-03-01 16:50:00+00:00,511
2019-03-01 16:55:00+00:00,407
2019-03-01 17:00:00+00:00,440
2019-03-01 17:05:00+00:00,462
2019-03-01 17:10:00+00:00,466
2019-03-01 17:15:00+00:00,483
2019-03-01 17:20:00+00:00,459
2019-03-01 17:25:00+00:00,456
2019-03-01 17:30:00+00:00,406
2019-03-01 17:35:00+00:00,419
2019-03-01 17:40:00+00:00,453
2019-03-01 17:45:00+00:00,474
2019-03-01 17:50:00+00:00,474
2019-03-01 17:55:00+00:00,390
2019-03-01 18:00:00+00:00,353
2019-03-01 18:05:00+00:00,405
2019-03-01 18:10:00+00:00,407
2019-03-01 18:15:00+00:00,463
2019-03-01 18:20:00+00:00,476
2019-03-01 18:25:00+00:00,527
2019-03-01 18:30:00+00:00,510
2019-03-01 18:35:00+00:00,522
2019-03-01 18:40:00+00:00,539
2019-03-01 18:45:00+00:00,0
2019-03-01 18:50:00+00:00,360
2019-03-01 18:55:00+00:00,0
2019-03-01 19:00:00+00:00,0
2019-03-01 19:05:00+00:00,0
2019-03-01 19:10:00+00:00,0
2019-03-01 19:15:00+00:00,0
2019-03-01 19:20:00+00:00,0
2019-03-01 19:25:00+00:00,0
2019-03-01 19:30:00+00:00,0
2019-03-01 19:35:00+00:00,0
2019-03-01 19:40:00+00:00,0
2019-03-01 19:45:00+00:00,0
2019-03-01 19:50:00+00:00,0
2019-03-01 19:55:00+00:00,0
2019-03-01 20:00:00+00:00,273
2019-03-01 20:05:00+00:00,673
2019-03-01 20:10:00+00:00,517
2019-03-01 20:15:00+00:00,528
2019-03-01 20:20:00+00:00,0
2019-03-01 20:25:00+00:00,282
2019-03-01 20:30:00+00:00,0
2019-03-01 20:35:00+00:00,0
2019-03-01 20:40:00+00:00,0
2019-03-01 20:45:00+00:00,0
2019-03-01 20:50:00+00:00,0
2019-03-01 20:55:00+00:00,0
2019-03-01 21:00:00+00:00,0
2019-03-01 21:05:00+00:00,0
2019-03-01 21:10:00+00:00,0
2019-03-01 21:15:00+00:00,0
2019-03-01 21:20:00+00:00,0
2019-03-01 21:25:00+00:00,0
2019-03-01 21:30:00+00:00,0
2019-03-01 21:35:00+00:00,0
2019-03-01 21:40:00+00:00,0
2019-03-01 21:45:00+00:00,0
2019-03-01 21:50:00+00:00,0
2019-03-01 21:55:00+00:00,0
2019-03-01 22:00:00+00:00,0
2019-03-01 22:05:00+00:00,0
2019-03-01 22:10:00+00:00,0
2019-03-01 22:15:00+00:00,0
2019-03-01 22:20:00+00:00,0
2019-03-01 22:25:00+00:00,0
2019-03-01 22:30:00+00:00,0
2019-03-01 22:35:00+00:00,0
2019-03-01 22:40:00+00:00,0
2019-03-01 22:45:00+00:00,0
2019-03-01 22:50:00+00:00,0
2019-03-01 22:55:00+00:00,0
2019-03-01 23:00:00+00:00,0
2019-03-01 23:05:00+00:00,0
2019-03-01 23:10:00+00:00,0
2019-03-01 23:15:00+00:00,0
2019-03-01 23:20:00+00:00,0
2019-03-01 23:25:00+00:00,0
2019-03-01 23:30:00+00:00,368
2019-03-01 23:35:00+00:00,477
2019-03-01 23:40:00+00:00,430
2019-03-01 23:45:00+00:00,742
2019-03-01 23:50:00+00:00,774
2019-03-01 23:55:00+00:00,891
